Diameter,Code 1,Code 2,q1,Side 1,q2,Side 2
6.0,R81361,R81383,67.5,L,67.5,L
6.1,R81361,R81383,62.5,L,62.5,L
6.2,R81361,R81383,57.5,L,57.5,L
6.3,R81361,R81383,55.0,L,55.0,L
6.4,R81361,R81383,50.0,L,50.0,L
6.5,R81361,R81383,47.5,L,47.5,L
6.6,R81361,R81383,45.0,L,45.0,L
6.7,R81361,R81383,40.0,L,40.0,L
6.8,R81361,R81383,37.5,L,37.5,L
6.9,R81361,R81383,35.0,L,35.0,L
7.0,R81361,R81383,32.5,L,32.5,L
7.1,R81361,R81383,30.0,L,30.0,L
7.2,R81361,R81383,27.5,L,27.5,L
7.3,R81361,R81383,25.0,L,25.0,L
7.4,R81361,R81383,22.5,L,22.5,L
7.5,R81361,R81383,20.0,L,20.0,L
7.6,R81361,R81383,17.5,L,17.5,L
7.7,R81361,R81383,15.0,L,15.0,L
7.8,R81361,R81383,12.5,L,12.5,L
7.9,R81361,R81383,10.0,L,12.5,L
8.0,R81361,R81383,7.5,L,10.0,L
8.1,R81361,R81383,5.0,L,7.5,L
8.2,R81361,R81383,2.5,L,5.0,L
8.3,R81361,R81383,2.5,R,5.0,L
8.4,R81361,R81383,10.0,L,12.5,R
8.5,R81361,R81383,0.0,R,5.0,R
8.6,R81361,R81383,2.5,R,7.5,R
8.7,R81361,R81383,7.5,R,7.5,R
8.8,R81361,R81383,10.0,R,10.0,R
8.9,R81361,R81383,12.5,R,12.5,R
9.0,R81361,R81383,12.5,R,15.0,R
9.1,R81361,R81383,15.0,R,17.5,R
9.2,R81361,R81383,17.5,R,20.0,R
9.3,R81361,R81383,20.0,R,22.5,R
9.4,R81361,R81383,22.5,R,25.0,R
9.5,R81361,R81383,25.0,R,27.5,R
8.5,R81363,R81384,67.5,L,67.5,L
8.6,R81363,R81384,62.5,L,62.5,L
8.7,R81363,R81384,57.5,L,57.5,L
8.8,R81363,R81384,52.5,L,55.0,L
8.9,R81363,R81384,50.0,L,50.0,L
9.0,R81363,R81384,47.5,L,47.5,L
9.1,R81363,R81384,42.5,L,45.0,L
9.2,R81363,R81384,40.0,L,40.0,L
9.3,R81363,R81384,37.5,L,37.5,L
9.4,R81363,R81384,35.0,L,35.0,L
9.5,R81363,R81384,30.0,L,32.5,L
9.6,R81363,R81384,27.5,L,30.0,L
9.7,R81363,R81384,25.0,L,27.5,L
9.8,R81363,R81384,22.5,L,25.0,L
9.9,R81363,R81384,20.0,L,22.5,L
10.0,R81363,R81384,17.5,L,20.0,L
10.1,R81363,R81384,15.0,L,17.5,L
10.2,R81363,R81384,12.5,L,15.0,L
10.3,R81363,R81384,10.0,L,15.0,L
10.4,R81363,R81384,7.5,L,12.5,L
10.5,R81363,R81384,5.0,L,10.0,L
10.6,R81363,R81384,0.0,L,10.0,L
10.7,R81363,R81384,5.0,R,10.0,L
10.8,R81363,R81384,45.0,R,45.0,L
10.9,R81363,R81384,10.0,L,15.0,R
11.0,R81363,R81384,2.5,L,10.0,R
11.1,R81363,R81384,2.5,R,10.0,R
11.2,R81363,R81384,5.0,R,12.5,R
11.3,R81363,R81384,10.0,R,12.5,R
11.4,R81363,R81384,12.5,R,15.0,R
11.5,R81363,R81384,15.0,R,17.5,R
11.6,R81363,R81384,17.5,R,20.0,R
11.7,R81363,R81384,20.0,R,22.5,R
11.8,R81363,R81384,22.5,R,25.0,R
11.9,R81363,R81384,25.0,R,27.5,R
12.0,R81363,R81384,27.5,R,30.0,R
11.0,R81364,R81385,67.5,L,70.0,L
11.1,R81364,R81385,60.0,L,62.5,L
11.2,R81364,R81385,57.5,L,60.0,L
11.3,R81364,R81385,52.5,L,55.0,L
11.4,R81364,R81385,47.5,L,50.0,L
11.5,R81364,R81385,45.0,L,47.5,L
11.6,R81364,R81385,42.5,L,45.0,L
11.7,R81364,R81385,37.5,L,42.5,L
11.8,R81364,R81385,35.0,L,37.5,L
11.9,R81364,R81385,32.5,L,35.0,L
12.0,R81364,R81385,30.0,L,32.5,L
12.1,R81364,R81385,27.5,L,30.0,L
12.2,R81364,R81385,25.0,L,27.5,L
12.3,R81364,R81385,22.5,L,25.0,L
12.4,R81364,R81385,17.5,L,25.0,L
12.5,R81364,R81385,15.0,L,22.5,L
12.6,R81364,R81385,12.5,L,20.0,L
12.7,R81364,R81385,10.0,L,17.5,L
12.8,R81364,R81385,5.0,L,17.5,L
12.9,R81364,R81385,2.5,L,15.0,L
13.0,R81364,R81385,2.5,R,15.0,L
13.1,R81364,R81385,10.0,R,17.5,L
13.2,R81364,R81385,25.0,R,30.0,L
13.3,R81364,R81385,62.5,L,65.0,R
13.4,R81364,R81385,17.5,L,22.5,R
13.5,R81364,R81385,5.0,L,15.0,R
13.6,R81364,R81385,0.0,R,15.0,R
13.7,R81364,R81385,5.0,R,15.0,R
13.8,R81364,R81385,7.5,R,17.5,R
13.9,R81364,R81385,10.0,R,20.0,R
14.0,R81364,R81385,15.0,R,20.0,R
14.1,R81364,R81385,17.5,R,22.5,R
14.2,R81364,R81385,20.0,R,25.0,R
14.3,R81364,R81385,22.5,R,27.5,R
14.4,R81364,R81385,25.0,R,30.0,R
14.5,R81364,R81385,27.5,R,32.5,R
13.5,R81365,R81386,65.0,L,70.0,L
13.6,R81365,R81386,60.0,L,65.0,L
13.7,R81365,R81386,55.0,L,60.0,L
13.8,R81365,R81386,50.0,L,55.0,L
13.9,R81365,R81386,47.5,L,52.5,L
14.0,R81365,R81386,42.5,L,47.5,L
14.1,R81365,R81386,40.0,L,45.0,L
14.2,R81365,R81386,35.0,L,42.5,L
14.3,R81365,R81386,32.5,L,40.0,L
14.4,R81365,R81386,30.0,L,37.5,L
14.5,R81365,R81386,25.0,L,35.0,L
14.6,R81365,R81386,22.5,L,32.5,L
14.7,R81365,R81386,20.0,L,30.0,L
14.8,R81365,R81386,17.5,L,27.5,L
14.9,R81365,R81386,15.0,L,25.0,L
15.0,R81365,R81386,10.0,L,25.0,L
15.1,R81365,R81386,7.5,L,22.5,L
15.2,R81365,R81386,2.5,L,22.5,L
15.3,R81365,R81386,2.5,R,22.5,L
15.4,R81365,R81386,7.5,R,22.5,L
15.5,R81365,R81386,17.5,R,27.5,L
15.6,R81365,R81386,37.5,R,42.5,L
15.7,R81365,R81386,85.0,L,90.0,R
15.8,R81365,R81386,35.0,L,42.5,R
15.9,R81365,R81386,17.5,L,27.5,R
16.0,R81365,R81386,7.5,L,22.5,R
16.1,R81365,R81386,2.5,L,22.5,R
16.2,R81365,R81386,2.5,R,22.5,R
16.3,R81365,R81386,7.5,R,22.5,R
16.4,R81365,R81386,10.0,R,25.0,R
16.5,R81365,R81386,15.0,R,25,R
16.6,R81365,R81386,17.5,R,27.5,R
16.7,R81365,R81386,20.0,R,30.0,R
16.8,R81365,R81386,22.5,R,32.5,R
16.9,R81365,R81386,27.5,R,35.0,R
17.0,R81365,R81386,30.0,R,37.5,R
16.0,R81366,R81387,65.0,L,72.5,L
16.1,R81366,R81387,57.5,L,65.0,L
16.2,R81366,R81387,52.5,L,62.5,L
16.3,R81366,R81387,47.5,L,57.5,L
16.4,R81366,R81387,42.5,L,52.5,L
16.5,R81366,R81387,40.0,L,50.0,L
16.6,R81366,R81387,35.0,L,47.5,L
16.7,R81366,R81387,32.5,L,45.0,L
16.8,R81366,R81387,27.5,L,42.5,L
16.9,R81366,R81387,25.0,L,40.0,L
17.0,R81366,R81387,20.0,L,37.5,L
17.1,R81366,R81387,17.5,L,35.0,L
17.2,R81366,R81387,12.5,L,32.5,L
17.3,R81366,R81387,10.0,L,30.0,L
17.4,R81366,R81387,5.0,L,30.0,L
17.5,R81366,R81387,0.0,L,30.0,L
17.6,R81366,R81387,5.0,R,30.0,L
17.7,R81366,R81387,12.5,R,32.5,L
17.8,R81366,R81387,22.5,R,37.5,L
17.9,R81366,R81387,35.0,R,47.5,L
18.0,R81366,R81387,60.0,R,67.5,L
18.1,R81366,R81387,75.0,L,82.5,R
18.2,R81366,R81387,45.0,L,55.0,R
18.3,R81366,R81387,25.0,L,40.0,R
18.4,R81366,R81387,15.0,L,32.5,R
18.5,R81366,R81387,7.5,L,30.0,R
18.6,R81366,R81387,2.5,L,30.0,R
18.7,R81366,R81387,2.5,R,30.0,R
18.8,R81366,R81387,7.5,R,30.0,R
18.9,R81366,R81387,12.5,R,32.5,R
19.0,R81366,R81387,15.0,R,35.0,R
19.1,R81366,R81387,20.0,R,35.0,R
19.2,R81366,R81387,22.5,R,37.5,R
19.3,R81366,R81387,27.5,R,40.0,R
19.4,R81366,R81387,30.0,R,42.5,R
19.5,R81366,R81387,35.0,R,45.0,R
19.0,R81367,R81388,60.0,L,75.0,L
19.1,R81367,R81388,55.0,L,70.0,L
19.2,R81367,R81388,50.0,L,65.0,L
19.3,R81367,R81388,45.0,L,60.0,L
19.4,R81367,R81388,40.0,L,57.5,L
19.5,R81367,R81388,35.0,L,52.5,L
19.6,R81367,R81388,30.0,L,50.0,L
19.7,R81367,R81388,27.5,L,47.5,L
19.8,R81367,R81388,22.5,L,45.0,L
19.9,R81367,R81388,20.0,L,42.5,L
20.0,R81367,R81388,15.0,L,42.5,L
20.1,R81367,R81388,10.0,L,40.0,L
20.2,R81367,R81388,5.0,L,40.0,L
20.3,R81367,R81388,0.0,L,40.0,L
20.4,R81367,R81388,5.0,R,40.0,L
20.5,R81367,R81388,10.0,R,40.0,L
20.6,R81367,R81388,17.5,R,42.5,L
20.7,R81367,R81388,27.5,R,47.5,L
20.8,R81367,R81388,40.0,R,57.5,L
20.9,R81367,R81388,57.5,R,72.5,L
21.0,R81367,R81388,80.0,R,92.5,L
21.1,R81367,R81388,65.0,L,77.5,R
21.2,R81367,R81388,45.0,L,60.0,R
21.3,R81367,R81388,30.0,L,50.0,R
21.4,R81367,R81388,20.0,L,45.0,R
21.5,R81367,R81388,12.5,L,40.0,R
21.6,R81367,R81388,5.0,L,40.0,R
21.7,R81367,R81388,0.0,L,40.0,R
21.8,R81367,R81388,5.0,R,40.0,R
21.9,R81367,R81388,10.0,R,40.0,R
22.0,R81367,R81388,12.5,R,42.5,R
22.1,R81367,R81388,17.5,R,42.5,R
22.2,R81367,R81388,22.5,R,45.0,R
22.3,R81367,R81388,25.0,R,47.5,R
22.4,R81367,R81388,30.0,R,50.0,R
22.5,R81367,R81388,35.0,R,52.5,R
22.0,R81368,R81389,57.5,L,80.0,L
22.1,R81368,R81389,50.0,L,72.5,L
22.2,R81368,R81389,45.0,L,70.0,L
22.3,R81368,R81389,37.5,L,65.0,L
22.4,R81368,R81389,32.5,L,62.5,L
22.5,R81368,R81389,27.5,L,60.0,L
22.6,R81368,R81389,22.5,L,57.5,L
22.7,R81368,R81389,20.0,L,55.0,L
22.8,R81368,R81389,15.0,L,52.5,L
22.9,R81368,R81389,10.0,L,52.5,L
23.0,R81368,R81389,5.0,L,50.0,L
23.1,R81368,R81389,0.0,R,50.0,L
23.2,R81368,R81389,7.5,R,52.5,L
23.3,R81368,R81389,12.5,R,52.5,L
23.4,R81368,R81389,20.0,R,55.0,L
23.5,R81368,R81389,30.0,R,60.0,L
23.6,R81368,R81389,40.0,R,65.0,L
23.7,R81368,R81389,52.5,R,75.0,L
23.8,R81368,R81389,67.5,R,90.0,L
23.9,R81368,R81389,77.5,L,97.5,R
24.0,R81368,R81389,60.0,L,82.5,R
24.1,R81368,R81389,47.5,L,72.5,R
24.2,R81368,R81389,35.0,L,62.5,R
24.3,R81368,R81389,25.0,L,57.5,R
24.4,R81368,R81389,17.5,L,55.0,R
24.5,R81368,R81389,10.0,L,52.5,R
24.6,R81368,R81389,5.0,L,50.0,R
24.7,R81368,R81389,2.5,R,50.0,R
24.8,R81368,R81389,7.5,R,50.0,R
24.9,R81368,R81389,12.5,R,52.5,R
25.0,R81368,R81389,17.5,R,52.5,R
25.1,R81368,R81389,20.0,R,55.0,R
25.2,R81368,R81389,25.0,R,57.5,R
25.3,R81368,R81389,30.0,R,60.0,R
25.4,R81368,R81389,35.0,R,62.5,R
25.5,R81368,R81389,40.0,R,67.5,R
